N,L,K,active_limit_fraction,required_turned_off_fraction,objective,objective_label,candidate,baseline_winner,winner,baseline_best_mean,candidate_mean,candidate_vs_best_h12_relative_delta
1000,10,500,0.5,0.5,u_bf,BF gain,Pareto-H2,H1,Coutino,6086.69357024419,5598.7193596339375,-0.08017065504920355
1000,10,500,0.5,0.5,u_i,Interference,Coutino,H2,Tie,1125.7089517014101,198649.9527308289,-175.46653020799644
1000,10,500,0.5,0.5,u_i,Interference,MISO-EE,H2,Tie,1125.7089517014101,173172.9284388651,-152.83454859902238
1000,10,500,0.5,0.5,u_i,Interference,Pareto-H2,H2,Tie,1125.7089517014101,1125.7089517014101,0.0
1000,10,500,0.5,0.5,u_g,General objective,Coutino,H1,Coutino,5.248746383501418e+27,1.4338040797008722e+28,1.7317076782520917
1000,10,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,5.248746383501418e+27,5.577806580835908e+27,0.06269310294146377
1000,10,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,5.248746383501418e+27,2.997963185018973e+27,-0.4288230053479849
1000,10,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,11017.63497788737,12156.563015234831,0.10337318668056386
1000,10,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,11017.63497788737,11069.603886433717,0.004716884217951462
1000,10,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,11017.63497788737,10095.448841847392,-0.08370091565847165
1000,10,750,0.75,0.25,u_i,Interference,Coutino,H2,Tie,1144.728868426755,415735.2153735161,-362.173522429706
1000,10,750,0.75,0.25,u_i,Interference,MISO-EE,H2,Tie,1144.728868426755,346265.0668695867,-301.48653320455884
1000,10,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,Tie,1144.728868426755,1144.728868426755,0.0
1000,10,750,0.75,0.25,u_g,General objective,Coutino,H1,Coutino,2.2443561849104747e+30,6.126039853351665e+30,1.7295310319008155
1000,10,750,0.75,0.25,u_g,General objective,MISO-EE,H1,Coutino,2.2443561849104747e+30,2.4000031709105366e+30,0.06935039413375044
1000,10,750,0.75,0.25,u_g,General objective,Pareto-H2,H1,Coutino,2.2443561849104747e+30,1.0957276669668544e+30,-0.511785306479523
