target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
int,interference,1,43,18,4,9,H3-threshold-Gen,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,15433.021138143147,0 3 4 7 8 9 10 12 16,0.002948900015326217,,,,u_i,min,100.9971326706736,48620
int,interference,1,43,18,4,9,Frame-BF,9,True,18.46793389341031,103.8419000733545,177.8316193197471,True,True,15870.536848049771,0 1 3 7 8 9 10 12 16,0.033557599992491305,,,,u_i,min,103.8419000733545,48620
int,interference,1,43,18,4,9,Frame-Int,9,True,5.757734782296783,0.6502092012394378,31.09272285756875,True,True,0.0,2 4 6 7 8 14 15 16 17,0.031761799997184426,,,,u_i,min,0.6502092012394378,48620
int,interference,1,43,18,4,9,Frame-Gen,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,11056.04788110478,1 3 4 7 8 9 10 12 16,0.051132399996276945,,,,u_i,min,72.53764981762062,48620
int,interference,1,43,18,4,9,H3-Fast,9,True,5.686423006317458,2.1491344808342845,27.373166810184102,True,True,230.52969363361427,0 1 2 6 11 13 14 15 17,0.0012193000002298504,,,,u_i,min,2.1491344808342845,48620
gen,general,1,43,18,4,9,Gurobi-BF,9,True,18.46793389341031,103.8419000733545,177.8316193197471,True,True,11.933783287154725,0 1 3 7 8 9 10 12 16,3.9093333999917377,3.22319210000569,0.6861412999860477,0.021414599992567673,u_g,max,177.8316193197471,48620
gen,general,1,43,18,4,9,Gurobi-Int,9,True,5.757734782296783,0.6502092012394378,31.09272285756875,True,True,84.602184471797,2 4 6 7 8 14 15 16 17,3.922709100006614,3.22319210000569,0.6995170000009239,0.022295500006293878,u_g,max,31.09272285756875,48620
gen,general,1,43,18,4,9,Gurobi-Gen,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,0.0,1 3 4 7 8 9 10 12 16,3.9405716999899596,3.22319210000569,0.7173795999842696,0.02050390001386404,u_g,max,201.9294412289755,48620
gen,general,1,43,18,4,9,H1,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,7.724032127202931,0 3 4 7 8 9 10 12 16,0.0005108999903313816,,,,u_g,max,186.33234631416806,48620
gen,general,1,43,18,4,9,H2,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,82.09188714093887,4 5 6 7 8 14 15 16 17,0.0008428000146523118,,,,u_g,max,36.16175223095645,48620
