N,L,K,off_pct,sample,seed,sigma,P,heuristic,active_count,u_bf,u_i,u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,7,500,50,5,47,1.0,1.0,S-threshold-BF,500,12415.133772499294,1050942.3232237846,4.6442257650336395e+22,0.1505957123873999,24.830267544998588,0.09407580000697635
1000,7,500,50,5,47,1.0,1.0,S-threshold-Int,500,8500.741284861393,822.380412966013,3.896902283687651e+21,0.14344563549693248,17.001482569722786,0.8784377000120003
1000,7,500,50,5,47,1.0,1.0,S-threshold-Gen,500,12415.133772499294,1050942.3232237846,4.6442257650336395e+22,0.1505957123873999,24.830267544998588,0.937802099972032
1000,7,500,50,5,47,1.0,1.0,Frame-BF,500,12448.608202338843,1052446.7218171917,4.737507883278258e+22,0.15065309286294418,24.897216404677685,0.03897520000464283
1000,7,500,50,5,47,1.0,1.0,Frame-Int,500,5791.085764309001,144.7568150665611,2.640173446148361e+20,0.1356783892165396,11.582171528618002,1.783222800004296
1000,7,500,50,5,47,1.0,1.0,Frame-Gen,500,12476.974335366707,1023328.2835923769,4.8433997539381015e+22,0.15071687633876868,24.953948670733414,0.08365250000497326
1000,7,500,50,5,47,1.0,1.0,N-H3-Fast,500,6271.257497911051,230.32270854432136,4.62126934914542e+20,0.13729370215340483,12.542514995822103,0.8447079000179656
1000,7,500,50,6,48,1.0,1.0,H1,500,8696.344730958599,430503.0133642554,4.0124836352084966e+21,0.1435299710017881,17.392689461917197,0.018616700021084398
1000,7,500,50,6,48,1.0,1.0,H2,500,8188.680302503454,953.7037110179663,3.0090091928401546e+21,0.1426995570137959,16.37736060500691,0.20570170000428334
1000,7,500,50,6,48,1.0,1.0,Coutino,500,10208.985113617808,401932.7834795136,1.2890473185514785e+22,0.14689744662173956,20.417970227235614,0.8665893999859691
1000,7,500,50,6,48,1.0,1.0,MISO-EE,450,8722.08457005882,317250.403702572,4.2457503903936167e+21,0.15965891011037786,19.382410155686266,1.1008719000092242
