N,L,K,off_pct,heuristic,active_count_mean,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log2_u_g_per_active_mean,log2_u_g_per_active_std,u_bf_per_active_mean,u_bf_per_active_std,elapsed_seconds_mean,elapsed_seconds_std,samples
1000,8,750,25,Frame-Int,750.0,13342.221752687063,1643.9381914044773,785.2715038690716,185.61257570102788,8.589778641928294e+25,8.938043890198327e+25,0.11406417707555702,0.001899952229469869,17.789629003582753,2.1919175885393023,1.6347572700033197,0.07448509497532614,10
1000,8,750,25,H1,750.0,15611.74631953397,1763.717130432076,1078025.4511762839,349250.1417510765,2.4367530305251568e+26,1.947292093243881e+26,0.11623284483573564,0.0017453411150596424,20.815661759378624,2.3516228405761015,0.031419449992245066,0.005151318906547696,10
1000,8,750,25,H2,750.0,13491.62495404624,1202.5860747114925,1085.9953274600207,261.2310166959119,7.833267182204623e+25,4.9226240627786585e+25,0.11428193041706994,0.001393141545499104,17.98883327206165,1.6034480996153233,0.31736053999920844,0.045332843072455886,10
1000,8,750,25,MISO-EE,686.0,15737.732623029602,1695.8034278381047,979024.4781703517,283900.6129646766,2.594407378524359e+26,2.0532789589702777e+26,0.12757220075813916,0.00609981432457618,22.900224893374162,1.4586277640283838,1.3885939600033452,0.04053563396669638,10
1000,8,750,25,N-H3-Fast,750.0,12160.58425363091,860.8646447008853,1091.8675745762885,284.0970048871967,3.213468171174664e+25,1.7075610625181905e+25,0.11271038403726137,0.0011045015400206267,16.214112338174548,1.147819526267847,1.028433829997084,0.03688953913875709,10
1000,8,750,25,Pareto-H2,744.8,13887.802562021665,940.8374096205439,1085.4360269334168,278.33873825268677,9.156725221014866e+25,4.491121038515677e+25,0.11555997504090285,0.0013800349823083,18.643289471966224,1.1876636665041878,0.9410223599959864,0.03976625182274249,10
1000,8,750,25,S-threshold-BF,750.0,20214.487047897583,1151.4835358238836,1804492.9983017906,433088.17995811085,1.551632747919491e+27,6.131468300505113e+26,0.1202668750510256,0.000895755967907905,26.95264939719678,1.5353113810985102,0.06962749999947845,0.0041661632091023176,10
1000,8,750,25,S-threshold-Gen,750.0,20214.487047897583,1151.4835358238836,1804492.9983017906,433088.17995811085,1.551632747919491e+27,6.131468300505113e+26,0.1202668750510256,0.000895755967907905,26.95264939719678,1.5353113810985102,0.6593135200004326,0.028712679428786705,10
1000,8,750,25,S-threshold-Int,750.0,13831.351310685865,1519.6548049501262,930.4667355883867,149.67546755673894,1.0670485499974496e+26,9.422929793315001e+25,0.11463973512292755,0.001688586644203756,18.441801747581156,2.026206406600168,0.5811337100050877,0.023135125102099936,10
1000,9,500,50,Coutino,500.0,9141.363143560206,954.7732491190545,395774.64930185926,98053.64365111536,1.263498219953331e+27,8.750691119885904e+26,0.17911313159754583,0.002815056728551908,18.28272628712041,1.9095464982381078,1.5874311799998395,0.048513712433118375,10
1000,9,500,50,Frame-BF,500.0,10388.120867822512,978.4146085936677,733217.4183195768,178084.5427280756,3.611203847352011e+27,2.8680501335151705e+27,0.18220747446800564,0.002452304810331675,20.776241735645026,1.956829217187336,0.04342021000338718,0.005978505433425905,10
1000,9,500,50,Frame-Gen,500.0,10383.267130992199,978.1154599292511,678667.5855001463,178515.207082036,3.6739585789751563e+27,2.899450454202068e+27,0.1822624740175562,0.002451994154346233,20.766534261984397,1.9562309198585024,0.10762047999887728,0.012004854897044405,10
1000,9,500,50,Frame-Int,500.0,5343.889463121689,523.9672913151305,442.573305010004,138.4552819588259,1.2295595730102031e+25,1.027046698871471e+25,0.16573167995846172,0.002523358869958703,10.687778926243379,1.0479345826302604,3.1718462099990576,0.12140249661264127,10
1000,9,500,50,H1,500.0,8149.75451828243,1406.1285049711441,427937.78986941447,160662.99140103566,6.823132252471e+26,8.174059210053616e+26,0.17572148570578286,0.004509506226376653,16.29950903656486,2.812257009942289,0.0196096600004239,0.0003998602211005601,10
1000,9,500,50,H2,500.0,6887.105219605022,1095.8623047721505,1106.5093217565213,307.5131563827486,1.8330555303615603e+26,2.3856258542293423e+26,0.1721344995698632,0.004117934387679268,13.774210439210043,2.1917246095443015,0.39085746999189724,0.008572077655495771,10
1000,9,500,50,MISO-EE,463.0,8151.413898357251,1396.8531163970001,329574.86379675585,126543.70341162608,7.251999659910181e+26,8.694592000074283e+26,0.19059588856452878,0.010291709339939,17.531519027257197,2.1368056170229695,2.026543539992417,0.04417674687094455,10
1000,9,500,50,N-H3-Fast,500.0,5347.632725268807,532.6040454963824,456.18317744284866,97.45153550801682,1.25074858898158e+25,1.1158220949348457e+25,0.165742200175475,0.0025596277998662805,10.695265450537613,1.0652080909927644,1.0591629900009139,0.11385080985595879,10
1000,9,500,50,Pareto-H2,499.2,6916.549899992596,1082.021142955467,1116.8675116957631,298.7208432352982,1.853529367957121e+26,2.3728032718057126e+26,0.1725323159181131,0.004091119435823165,13.854525350068418,2.1578733661353824,1.4401724099967397,0.08089131924170961,10
